generation,best_fitness,avg_fitness
0,24,16.0000
1,24,18.2150
2,25,19.6050
3,26,20.8650
4,27,21.8800
5,27,23.0400
6,28,23.7700
7,30,24.3500
8,30,24.7950
9,30,25.5450
10,31,26.2000
11,31,26.5350
12,31,26.7950
13,31,27.0800
14,31,27.0450
15,31,27.1500
16,31,27.2050
17,31,27.6150
18,31,27.5350
19,32,27.4650
