generation,best_fitness,avg_fitness
0,24,16.5200
1,27,18.6900
2,27,20.8950
3,28,22.4350
4,28,24.3200
5,29,25.9800
6,31,27.0900
7,31,28.0900
8,31,28.7950
9,32,29.5200
