generation,best_fitness,avg_fitness
0,22,15.6350
1,26,17.9350
2,26,20.0300
3,26,21.5100
4,29,23.2150
5,29,24.3600
6,31,25.6900
7,31,26.7100
8,31,27.8200
9,32,28.6500
