generation,best_fitness,avg_fitness
0,23,15.9600
1,24,18.0900
2,26,20.0850
3,26,21.8700
4,28,23.4650
5,29,24.6850
6,30,25.7950
7,30,26.8750
8,31,27.8850
9,32,28.6950
