generation,best_fitness,avg_fitness
0,24,16.3250
1,25,18.2600
2,26,20.0400
3,27,21.4900
4,28,23.0700
5,29,24.3950
6,30,25.5450
7,30,26.4650
8,31,27.2600
9,31,27.9900
10,32,28.5100
