generation,best_fitness,avg_fitness
0,23,15.9400
1,23,17.9650
2,24,19.5800
3,26,20.7800
4,26,21.6900
5,28,22.5950
6,28,23.2100
7,28,24.0950
8,28,24.7100
9,30,25.3200
10,31,25.6500
11,31,26.1300
12,31,26.7200
13,31,26.8600
14,31,27.1450
15,32,27.3950
