generation,best_fitness,avg_fitness
0,23,15.8350
1,24,18.0700
2,26,19.8050
3,27,21.3950
4,27,22.8450
5,28,24.1350
6,29,25.1400
7,30,25.8300
8,30,26.6750
9,31,27.5250
10,31,28.2650
11,32,28.7450
