generation,best_fitness,avg_fitness
0,24,16.1400
1,24,18.4200
2,28,19.8800
3,28,21.2150
4,29,22.2050
5,29,23.4350
6,30,24.6050
7,30,25.4050
8,31,26.3500
9,31,26.7800
10,31,27.0400
11,32,27.3000
