generation,best_fitness,avg_fitness
0,26,16.0950
1,26,18.6200
2,26,20.2500
3,28,22.0200
4,28,23.6000
5,29,24.8400
6,29,25.8950
7,30,26.8900
8,31,27.7950
9,32,28.5000
