generation,best_fitness,avg_fitness
0,24,15.7600
1,24,18.3500
2,25,20.0100
3,27,21.4850
4,27,22.8300
5,28,24.1850
6,28,25.5000
7,30,26.3700
8,31,27.2000
9,31,28.1100
10,32,28.9400
