generation,best_fitness,avg_fitness
0,27,16.2350
1,27,18.9700
2,28,21.0750
3,28,22.9000
4,29,24.0700
5,29,25.3100
6,30,26.2300
7,31,26.9200
8,31,27.7350
9,31,28.4650
10,32,28.9350
