generation,best_fitness,avg_fitness
0,23,16.0050
1,24,18.1800
2,25,19.7850
3,25,21.1300
4,27,22.4950
5,27,23.7950
6,28,24.9050
7,29,25.8700
8,30,26.7800
9,31,27.5300
10,31,28.4600
11,32,29.3700
