generation,best_fitness,avg_fitness
0,22,15.7300
1,24,17.6100
2,24,19.3700
3,25,20.7300
4,28,21.7500
5,28,22.9300
6,28,23.7600
7,29,24.3600
8,29,25.1500
9,29,25.4100
10,29,25.5400
11,31,25.8600
12,31,26.2550
13,31,26.6500
14,31,26.9100
15,32,27.2500
