generation,best_fitness,avg_fitness
0,23,15.5850
1,24,18.0150
2,25,20.0100
3,26,21.7400
4,27,23.1400
5,28,24.3250
6,28,25.2700
7,29,26.0350
8,30,26.7050
9,30,27.5850
10,31,28.5100
11,31,28.9850
12,32,29.4900
