generation,best_fitness,avg_fitness
0,23,16.0650
1,25,18.7050
2,26,20.7150
3,26,22.4150
4,28,23.8850
5,28,24.8850
6,30,26.0250
7,31,27.0750
8,31,27.9150
9,31,28.8250
10,32,29.5300
