generation,best_fitness,avg_fitness
0,25,15.7900
1,25,18.3250
2,27,20.4650
3,27,21.8750
4,28,23.4200
5,28,24.7050
6,29,25.3650
7,30,26.3500
8,30,27.2850
9,30,27.7000
10,31,28.1950
11,31,28.5600
12,32,29.0700
