generation,best_fitness,avg_fitness
0,23,16.1300
1,25,18.7750
2,25,20.5250
3,29,22.3300
4,30,23.6850
5,30,25.1450
6,31,26.7600
7,31,28.1200
8,31,29.2850
9,32,29.9000
