generation,best_fitness,avg_fitness
0,23,15.7900
1,24,17.7700
2,25,19.4350
3,28,20.9250
4,29,22.3800
5,29,23.3800
6,30,24.1450
7,31,25.1150
8,31,25.5100
9,31,26.1650
10,32,26.6800
